epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3541.52,0.89325,0.67128,1.19497,0.85615,0.88836,0.94085,0.73134,0.83062,0.59513,1.16659,0.004456,0.004456,0.004456
44,3624.08,0.87019,0.65487,1.1822,0.89215,0.87053,0.92202,0.71466,0.8517,0.62378,1.19325,0.004324,0.004324,0.004324
45,3706.08,0.86266,0.65779,1.18386,0.89685,0.86029,0.93315,0.73724,0.80777,0.57804,1.15397,0.004192,0.004192,0.004192
46,3789.51,0.85148,0.64391,1.1752,0.90203,0.87528,0.93344,0.73315,0.81367,0.55124,1.15802,0.00406,0.00406,0.00406
47,3872.48,0.85297,0.63032,1.17036,0.88807,0.87092,0.93659,0.72829,0.83445,0.5599,1.1659,0.003928,0.003928,0.003928
48,3955.24,0.83793,0.62074,1.16483,0.92912,0.87143,0.93854,0.74573,0.77089,0.53366,1.11889,0.003796,0.003796,0.003796
49,4035.95,0.83752,0.62925,1.16456,0.90648,0.86397,0.93232,0.7398,0.81055,0.56395,1.16012,0.003664,0.003664,0.003664
50,4119.24,0.82385,0.61305,1.16272,0.87914,0.89399,0.94229,0.74499,0.78864,0.52652,1.13543,0.003532,0.003532,0.003532
51,4201.93,0.82759,0.605,1.16003,0.89691,0.86181,0.92786,0.72721,0.78822,0.55821,1.12888,0.0034,0.0034,0.0034
52,4283.35,0.81424,0.60061,1.14516,0.90388,0.8711,0.9228,0.73689,0.78568,0.56442,1.12767,0.003268,0.003268,0.003268
53,4365.02,0.8185,0.60583,1.15759,0.88009,0.87048,0.94033,0.75417,0.76981,0.52586,1.12795,0.003136,0.003136,0.003136
54,4445.33,0.80364,0.58872,1.14522,0.91928,0.8692,0.94667,0.7596,0.76351,0.52465,1.11109,0.003004,0.003004,0.003004
55,4528.77,0.79039,0.57019,1.13936,0.87682,0.88631,0.94216,0.7624,0.73599,0.53893,1.09633,0.002872,0.002872,0.002872
56,4611.12,0.80291,0.58014,1.14689,0.89976,0.87155,0.93086,0.74532,0.77578,0.56539,1.12908,0.00274,0.00274,0.00274
57,4693.31,0.78578,0.57609,1.14051,0.90527,0.86324,0.94192,0.76145,0.74755,0.53571,1.10523,0.002608,0.002608,0.002608
58,4776.45,0.77738,0.56229,1.13056,0.91293,0.87169,0.94761,0.76381,0.74102,0.51068,1.09989,0.002476,0.002476,0.002476
59,4857.89,0.77435,0.55251,1.12399,0.8946,0.85745,0.92854,0.74614,0.75251,0.53819,1.11505,0.002344,0.002344,0.002344
60,4940.65,0.7757,0.55663,1.13259,0.91279,0.85679,0.93496,0.75665,0.73725,0.52154,1.09505,0.002212,0.002212,0.002212
61,5022.66,0.76417,0.54496,1.12725,0.89591,0.87768,0.93626,0.76635,0.72408,0.52246,1.08538,0.00208,0.00208,0.00208
62,5106.59,0.76212,0.54273,1.1256,0.88298,0.87936,0.9289,0.75552,0.72747,0.53679,1.09152,0.001948,0.001948,0.001948
63,5189.49,0.76221,0.54158,1.12137,0.88419,0.88182,0.93852,0.76189,0.70288,0.53019,1.06273,0.001816,0.001816,0.001816
64,5272.46,0.75144,0.52589,1.10955,0.87891,0.87938,0.92939,0.75409,0.70695,0.52036,1.07947,0.001684,0.001684,0.001684
65,5356.74,0.74976,0.52731,1.1141,0.88298,0.88081,0.92114,0.7512,0.70598,0.55375,1.06504,0.001552,0.001552,0.001552
66,5437.73,0.69493,0.45912,1.11712,0.89006,0.87229,0.9199,0.75175,0.71323,0.54632,1.07053,0.00142,0.00142,0.00142
67,5516.94,0.65672,0.42111,1.09292,0.89508,0.87296,0.91856,0.75026,0.70963,0.52584,1.07853,0.001288,0.001288,0.001288
68,5597.49,0.66079,0.41275,1.08925,0.90983,0.86012,0.92599,0.75824,0.70232,0.52154,1.06451,0.001156,0.001156,0.001156
69,5677.64,0.64934,0.41228,1.08278,0.89866,0.87214,0.92686,0.75925,0.70734,0.50307,1.07416,0.001024,0.001024,0.001024
70,5755.66,0.63494,0.39501,1.06812,0.88255,0.87455,0.92407,0.76115,0.69283,0.52685,1.05687,0.000892,0.000892,0.000892
71,5835.65,0.62819,0.39204,1.07062,0.88436,0.8702,0.92376,0.75829,0.6954,0.52761,1.05937,0.00076,0.00076,0.00076
72,5914.27,0.62558,0.38314,1.06266,0.90552,0.86068,0.92604,0.76159,0.68247,0.51068,1.05183,0.000628,0.000628,0.000628
73,5991.24,0.62114,0.38885,1.06807,0.90307,0.86785,0.92717,0.76329,0.68259,0.50875,1.05291,0.000496,0.000496,0.000496
74,6069.08,0.60573,0.38024,1.05249,0.90864,0.86869,0.93741,0.76882,0.67797,0.49216,1.04793,0.000364,0.000364,0.000364
75,6146.95,0.6084,0.37743,1.05279,0.91219,0.87131,0.93333,0.77016,0.67895,0.49248,1.05089,0.000232,0.000232,0.000232
